schema_version,recorded_at_utc,git_sha,git_ref,workflow_run_id,os,arch,compiler,build_type,benchmark_suite,benchmark_name,frames,dt_seconds,milliseconds_total,milliseconds_per_frame,metric_type,median_milliseconds_per_frame,stddev_milliseconds_per_frame,cv_percent,peak_rss_kb,allocator_delta_bytes,golden_milliseconds_per_frame,regression_percent,threshold_percent,pass_fail,machine_tag
1,2026-03-15T17:06:27Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,linux,x64,clang,Release,performance,broadphase,200,0.0166667,46.507000,0.232535,total,0.232535,0.000000,0.00,4224,64512,1.497700,-84.47,5.00,PASS,ubuntu-22.04-gha
1,2026-03-15T17:06:27Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,linux,x64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,6.925000,0.069250,median,0.013540,0.000699,5.16,4480,11432,0.057350,-76.39,10.00,PASS,ubuntu-22.04-gha
1,2026-03-15T17:06:27Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,linux,x64,clang,Release,performance,gjk,2000,0.0166667,0.286000,0.000143,total,0.000143,0.000000,0.00,4224,144,0.000677,-78.88,5.00,PASS,ubuntu-22.04-gha
1,2026-03-15T17:06:27Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,linux,x64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.311000,0.001555,median,0.000490,0.000055,11.19,4096,16152,0.006365,-92.30,2.00,PASS,ubuntu-22.04-gha
1,2026-03-15T17:06:27Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,linux,x64,clang,Release,performance,solver,200,0.0166667,0.566000,0.002830,total,0.002830,0.000000,0.00,4224,9728,0.016085,-82.41,5.00,PASS,ubuntu-22.04-gha
1,2026-03-15T17:06:35Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,windows,x64,msvc,Release,performance,broadphase,200,0.0166667,78.900000,0.394500,total,0.394500,0.000000,0.00,4648,44500,1.497700,-73.66,5.00,PASS,windows-2022-gha
1,2026-03-15T17:06:35Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,windows,x64,msvc,Release,performance,complex_deterministic_scene,100,0.0166667,12.211000,0.122110,median,0.024410,0.000145,0.60,4684,11796,0.057350,-57.44,10.00,PASS,windows-2022-gha
1,2026-03-15T17:06:35Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,windows,x64,msvc,Release,performance,gjk,2000,0.0166667,0.322000,0.000161,total,0.000161,0.000000,0.00,4648,144,0.000677,-76.22,5.00,PASS,windows-2022-gha
1,2026-03-15T17:06:35Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,windows,x64,msvc,Release,performance,particle_integration_kernel,200,0.0166667,0.325000,0.001625,median,0.000570,0.000047,8.30,4520,19996,0.006365,-91.04,2.00,PASS,windows-2022-gha
1,2026-03-15T17:06:35Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,windows,x64,msvc,Release,performance,solver,200,0.0166667,0.606000,0.003030,total,0.003030,0.000000,0.00,4648,9728,0.016085,-81.16,5.00,PASS,windows-2022-gha
1,2026-03-15T17:06:44Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,macos,arm64,clang,Release,performance,broadphase,200,0.0166667,37.303000,0.186515,total,0.186515,0.000000,0.00,2208,64512,1.497700,-87.55,5.00,PASS,macos-14-gha
1,2026-03-15T17:06:44Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,macos,arm64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,3.989000,0.039890,median,0.007930,0.000112,1.41,1888,11432,0.057350,-86.17,10.00,PASS,macos-14-gha
1,2026-03-15T17:06:44Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,macos,arm64,clang,Release,performance,gjk,2000,0.0166667,0.179000,0.000089,total,0.000089,0.000000,0.00,2224,144,0.000677,-86.78,5.00,PASS,macos-14-gha
1,2026-03-15T17:06:44Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,macos,arm64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.228000,0.001140,median,0.000365,0.000025,6.80,1808,16152,0.006365,-94.27,2.00,PASS,macos-14-gha
1,2026-03-15T17:06:44Z,64ab901bb6688685d64d05789aac73d8f1ff01e6,refs/heads/master,23115037447,macos,arm64,clang,Release,performance,solver,200,0.0166667,0.245000,0.001225,total,0.001225,0.000000,0.00,2256,9728,0.016085,-92.38,5.00,PASS,macos-14-gha
1,2026-03-15T18:42:28Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,linux,x64,clang,Release,performance,broadphase,200,0.0166667,45.625000,0.228125,total,0.228125,0.000000,0.00,4224,64512,1.497700,-84.77,5.00,PASS,ubuntu-22.04-gha
1,2026-03-15T18:42:28Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,linux,x64,clang,Release,performance,complex_deterministic_scene,100,0.0166667,7.357000,0.073570,median,0.013770,0.001436,10.43,4224,11432,0.057350,-75.99,10.00,PASS,ubuntu-22.04-gha
1,2026-03-15T18:42:28Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,linux,x64,clang,Release,performance,gjk,2000,0.0166667,0.287000,0.000143,total,0.000143,0.000000,0.00,4224,144,0.000677,-78.80,5.00,PASS,ubuntu-22.04-gha
1,2026-03-15T18:42:28Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,linux,x64,clang,Release,performance,particle_integration_kernel,200,0.0166667,0.302000,0.001510,median,0.000470,0.000047,10.03,4352,16152,0.006365,-92.62,2.00,PASS,ubuntu-22.04-gha
1,2026-03-15T18:42:28Z,f042e0d9a7ff214320f70a4c022692e03c9ff005,refs/heads/master,23116722339,linux,x64,clang,Release,performance,solver,200,0.0166667,0.555000,0.002775,total,0.002775,0.000000,0.00,4224,9728,0.016085,-82.75,5.00,PASS,ubuntu-22.04-gha
